study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Semeniuk & Rothley 2008 Marine Ecology Progress Series,PB,Dasyatis_americana,fish,ectotherm,NA,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,141,observational,cross-sectional,LC,yes,F,NA,residuals weight/length,NA,adjusted quantitative,body size,external,827416,NA,NA,NA,NA,NA,NA,NA,1,0.225606811,0.221855489,0.05869605,0.37347045,0.007246377
Galvan et al. 2012 Journal of Avian Biology,CAS,Delichon_urbicum,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,15,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,36109,NA,NA,NA,NA,NA,NA,NA,1,0.95714348,0.743,0.372523996,0.909208008,0.083333333
Marzal et al. 2013 Journal of Avian Biology,DJB,Delichon_urbicum,bird,endotherm,haemosporidian parasites,protozoan,microparasite,richness,hp not randomly sampled,NA,NA,NA,140,observational,cross-sectional,LC,yes,NA,A,mass~length residuals,NA,adjusted quantitative,body size,external,36109,NA,NA,NA,NA,NA,NA,NA,-1,-0.262110756,-0.256268732,-0.404955016,-0.09437801,0.00729927
Marzal et al. 2008 Journal of Evolutionary Biology,PB,Delichon_urbicum,bird,endotherm,Multiple Plasmodium spp and Haemoproteus spp,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,112,observational,longitudinal,LC,yes,NA,A,body mass,NA,raw quantitative,body size,external,36109,NA,NA,NA,NA,NA,NA,NA,-1,-0.223466134,-0.219819212,-0.389488258,-0.035720427,0.009174312
Marzal et al. 2013 Oecologia,AKD,Delichon_urbicum,bird,endotherm,Plasmodium and Haemoproteus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,444,observational,cross-sectional,LC,yes,NA,A,body mass only,NA,raw quantitative,body size,external,36109,NA,NA,NA,NA,NA,NA,NA,-1,-0.149312841,-0.148213038,-0.237991991,-0.055922816,0.002267574
Puttker et al. 2008 Ecological Research,CAS,Delomys_sublineatus,mammal,endotherm,Multiple nematode spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,27,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,247845,NA,NA,NA,NA,NA,NA,NA,-1,-0.203774438,-0.201,-0.539783767,0.193818356,0.041666667
Puttker et al. 2008 Ecological Research,CAS,Delomys_sublineatus,mammal,endotherm,Multiple nematode spp.,helminth,helminth,richness,hp not randomly sampled,NA,NA,NA,27,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,247845,NA,NA,NA,NA,NA,NA,NA,-1,-0.321652106,-0.311,-0.617978574,0.078263484,0.041666667
Elsheikha et al. 2004 Veterinary Parasitology,CST,Didelphis_virginiana,mammal,endotherm,Sarcocystis neurona,protozoan,microparasite,binary infection,hp randomly sampled,4,NA,2,206,observational,cross-sectional,FD,no,NA,NA,body fat score,medium,qualitative,not body size,external,919171,-0.878996949,-0.954937499,0,1,0,1,multiple modes,-1,-0.469786113,-0.438026482,-0.54225803,-0.320517371,0.004926108
Polak 1998 Ecology,CAS,Drosophila_nigrospiracula,invertebrate,ectotherm,Macrocheles subbadius,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,57,observational,cross-sectional,LC,yes,M,NA,body mass,NA,raw quantitative,body size,external,852862,NA,NA,NA,NA,NA,NA,NA,-1,-0.295314167,-0.287018603,-0.509483153,-0.028589059,0.018518519
Polak 1998 Ecology,CAS,Drosophila_nigrospiracula,invertebrate,ectotherm,Macrocheles subbadius,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,127,experimental,cross-sectional,CZ,yes,M,NA,body:thorax ratio,NA,adjusted quantitative,body size,external,852862,NA,NA,NA,NA,NA,NA,NA,-1,-0.464452803,-0.433706408,-0.565214562,-0.280700976,0.008064516
Galvan et al. 2012 Journal of Avian Biology,CAS,Emberiza_calandra,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,22,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,972939,NA,NA,NA,NA,NA,NA,NA,-1,-0.121595763,-0.121,-0.516271073,0.31676826,0.052631579
Galvan et al. 2012 Journal of Avian Biology,CAS,Emberiza_cirlus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,35,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,845178,NA,NA,NA,NA,NA,NA,NA,1,0.183016366,0.181,-0.162019155,0.484992923,0.03125
Figuerola et al. 1999 Functional Ecology,DJB,Emberiza_cirlus,bird,endotherm,Leucocytozoon,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,52,observational,cross-sectional,LC,yes,NA,J,mass~length residuals,NA,adjusted quantitative,body size,external,845178,NA,NA,NA,NA,NA,NA,NA,1,0.156037141,0.154782978,-0.123326701,0.41034998,0.020408163
Figuerola et al. 1999 Functional Ecology,DJB,Emberiza_cirlus,bird,endotherm,Leucocytozoon,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,23,observational,cross-sectional,LC,yes,NA,A,mass~length residuals,NA,adjusted quantitative,body size,external,845178,NA,NA,NA,NA,NA,NA,NA,-1,-0.861396642,-0.696976558,-0.861635069,-0.399568522,0.05
Figuerola et al. 1999 Functional Ecology,DJB,Emberiza_cirlus,bird,endotherm,Plasmodium,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,64,observational,cross-sectional,LC,yes,NA,J,mass~length residuals,NA,adjusted quantitative,body size,external,845178,NA,NA,NA,NA,NA,NA,NA,1,0.199652165,0.197041013,-0.051250565,0.422391948,0.016393443
Figuerola et al. 1999 Functional Ecology,DJB,Emberiza_cirlus,bird,endotherm,Plasmodium,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,23,observational,cross-sectional,LC,yes,NA,A,mass~length residuals,NA,adjusted quantitative,body size,external,845178,NA,NA,NA,NA,NA,NA,NA,1,0.133982678,0.13318667,-0.295223212,0.517005338,0.05
Harper 1999 Animal Behaviour,CAS,Emberiza_citrinella,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,yes,M,J,pectoral muscle scores,NA,qualitative,not body size,external,828708,NA,NA,NA,NA,NA,NA,NA,-1,-0.19026308,-0.188,-0.503675774,0.171967187,0.034482759
Galvan et al. 2012 Journal of Avian Biology,CAS,Emberiza_citrinella,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,54,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,828708,NA,NA,NA,NA,NA,NA,NA,1,0.205859519,0.203,-0.068482973,0.446491342,0.019607843
Galvan et al. 2012 Journal of Avian Biology,CAS,Emberiza_schoeniclus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,261,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,711856,NA,NA,NA,NA,NA,NA,NA,1,0.263964597,0.258,0.140996918,0.367895185,0.003875969
Piksa et al. 2011 Folia Parasitologia,DJB,Eptesicus_nilssonii,mammal,endotherm,Spinturnicid mites,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,30,observational,cross-sectional,LC,yes,F,NA,mass~length residuals,NA,adjusted quantitative,body size,external,493714,NA,NA,NA,NA,NA,NA,NA,-1,-0.318334288,-0.308,-0.601522526,0.058793074,0.037037037
Piksa et al. 2011 Folia Parasitologia,DJB,Eptesicus_nilssonii,mammal,endotherm,Spinturnicid mites,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,149,observational,cross-sectional,LC,yes,M,NA,mass~length residuals,NA,adjusted quantitative,body size,external,493714,NA,NA,NA,NA,NA,NA,NA,-1,-0.094278338,-0.094,-0.251005949,0.067825143,0.006849315
Debeffe et al. 2016 Parasitology,LMB,Equus_caballus_ferus,mammal,endotherm,Strongyloides spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,234,observational,longitudinal,LC,yes,F,A,body condition score (1-5),NA,qualitative,not body size,external,520756,1.481427926,-0.616858735,NA,NA,NA,NA,NA,-1,-0.346198637,-0.333,-0.442354873,-0.213888246,0.004329004
Debeffe et al. 2016 Parasitology,LMB,Equus_caballus_ferus,mammal,endotherm,Strongyloides spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,213,observational,longitudinal,LC,yes,M,A,body condition score (1-5),NA,qualitative,not body size,external,520756,1.481427926,-0.616858735,NA,NA,NA,NA,NA,-1,-0.062079626,-0.062,-0.19480798,0.073040433,0.004761905
Debeffe et al. 2016 Parasitology,LMB,Equus_caballus_ferus,mammal,endotherm,Strongyloides spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,447,observational,longitudinal,LC,yes,NA,NA,body condition score (1-5),NA,qualitative,not body size,external,520756,1.481427926,-0.616858735,NA,NA,NA,NA,NA,-1,-0.18611973,-0.184,-0.272104782,-0.092835866,0.002252252
Galvan et al. 2012 Journal of Avian Biology,CAS,Eremopterix_nigriceps,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,139502,NA,NA,NA,NA,NA,NA,NA,-1,-0.07413552,-0.074,-0.511032717,0.39343316,0.0625
Gaglio et al. 2010 European Journal of Wildlife Research,CST,Erinaceus_europaeus,mammal,endotherm,Ixodes hexago,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,74,observational,cross-sectional,FD,no,NA,NA,residual of mass/manus length regression,NA,adjusted quantitative,body size,external,796660,-0.327177789,-0.115409633,NA,NA,NA,NA,NA,1,0.444055027,0.417,0.208354063,0.589343727,0.014084507
Harper 1999 Animal Behaviour,CAS,Erithacus_rubecula,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,30,observational,cross-sectional,LC,yes,F,J,pectoral muscle scores,NA,qualitative,not body size,external,507122,NA,NA,NA,NA,NA,NA,NA,-1,-0.348449765,-0.335,-0.62039378,0.028737565,0.037037037
Harper 1999 Animal Behaviour,CAS,Erithacus_rubecula,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,28,observational,cross-sectional,LC,yes,F,A,pectoral muscle scores,NA,qualitative,not body size,external,507122,NA,NA,NA,NA,NA,NA,NA,-1,-0.360892579,-0.346,-0.636867173,0.031090194,0.04
Harper 1999 Animal Behaviour,CAS,Erithacus_rubecula,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,37,observational,cross-sectional,LC,yes,M,A,pectoral muscle scores,NA,qualitative,not body size,external,507122,NA,NA,NA,NA,NA,NA,NA,-1,-0.267181208,-0.261,-0.539402302,0.068840786,0.029411765
Harper 1999 Animal Behaviour,CAS,Erithacus_rubecula,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,35,observational,cross-sectional,LC,yes,M,J,pectoral muscle scores,NA,qualitative,not body size,external,507122,NA,NA,NA,NA,NA,NA,NA,-1,-0.555995207,-0.505,-0.717498994,-0.206506298,0.03125
Galvan et al. 2012 Journal of Avian Biology,CAS,Erithacus_rubecula,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,660,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,507122,NA,NA,NA,NA,NA,NA,NA,1,0.077152721,0.077,0.000687243,0.152421109,0.00152207
Carrasco et al. 2011 Journal of Wildlife Disease,DJB,Eumetopias_jubatus,mammal,endotherm,beta-hemolytic Streptococcus,bacterium,microparasite,binary infection,hp randomly sampled,5,NA,NA,272,observational,cross-sectional,LC,yes,NA,J,body condition score,medium,qualitative,not body size,external,949686,NA,NA,NA,NA,NA,NA,NA,-1,-0.399266526,-0.379321199,-0.476748313,-0.272687951,0.003717472
Christensen et al. 2015 Journal of Wildlife Diseases,AM,Falco_rusticolus,bird,endotherm,"Eucoleus contortus, Trichomonas gallinae",NA,NA,binary infection,hp not randomly sampled,NA,NA,NA,26,observational,cross-sectional,FD,no,NA,NA,residuals of regressing net body mass (gross body mass minus crop content) on structural size,NA,adjusted quantitative,body size,external,759238,NA,NA,NA,NA,NA,NA,NA,-1,-0.519130667,-0.47702878,-0.729571871,-0.110002973,0.043478261
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,intensity,hp randomly sampled,2,acute,3,162,observational,longitudinal,LC,yes,F,A,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,-1,-0.010000333,-0.01,-0.163942664,0.144418143,0.006289308
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,binary infection,hp randomly sampled,2,acute,3,137,observational,longitudinal,LC,yes,M,A,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,1,0.079560771,0.079393324,-0.089514087,0.243861674,0.007462687
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,binary infection,hp randomly sampled,2,acute,3,102,observational,longitudinal,LC,yes,M,J,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,1,0.1491131,0.148017679,-0.047834159,0.332909534,0.01010101
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,intensity,hp randomly sampled,2,acute,3,49,observational,longitudinal,LC,yes,F,J,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,1,0.010000333,0.01,-0.271961332,0.290380047,0.02173913
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,binary infection,hp randomly sampled,2,acute,3,69,observational,longitudinal,LC,yes,F,J,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,1,0.131203761,0.130456044,-0.109608984,0.356140395,0.015151515
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,intensity,hp randomly sampled,2,acute,3,63,observational,longitudinal,LC,yes,M,A,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,-1,-0.100335348,-0.1,-0.339356954,0.151519147,0.016666667
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,binary infection,hp randomly sampled,2,acute,3,181,observational,longitudinal,LC,yes,F,A,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,-1,-0.137588235,-0.136726554,-0.277059024,0.009317007,0.005617978
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,intensity,hp randomly sampled,2,acute,3,58,observational,longitudinal,LC,yes,M,A,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,-1,-0.255412812,-0.25,-0.477464039,0.008868445,0.018181818
Dawson & Bortolotti 2000 The Auk,CAS,Falco_sparverius,bird,endotherm,Haemoproteus spp.,protozoan,microparasite,intensity,hp randomly sampled,2,acute,3,66,observational,longitudinal,LC,yes,M,J,residuals of a regression of mass against PC1 (index of body size),rapid,adjusted quantitative,body size,external,964519,NA,NA,NA,NA,NA,NA,NA,1,0.171666664,0.17,-0.075123785,0.395749437,0.015873016
Millan & Casanova 2009 Parasitol Res,PB,Felis_catus,mammal,endotherm,"Diplopylidium  acanthotetra, Ancylostoma tubaeforme, Toxocara cati",helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,58,observational,cross-sectional,LC,no,NA,NA,Kidney fat index (weigth of fat/kidney weigth),NA,raw quantitative,not body size,invasive,563166,NA,NA,1,0,0,0,close,-1,-0.298566264,-0.29,-0.510087291,-0.034271347,0.018181818
Spada et al. 2013 Journal of Feline Medicine and Surgery,CAS,Felis_catus,mammal,endotherm,Giardia duodenalis,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,139,observational,cross-sectional,LC,no,NA,NA,body condition score (poor/good),NA,qualitative,not body size,external,563166,NA,NA,1,1,0,0,multiple modes,-1,-0.915880138,-0.723942585,-0.794657715,-0.633843371,0.007352941
Serrano & Millan 2014 Epidemiology and Infection,CST,Felis_catus,mammal,endotherm,multiple,NA,NA,intensity,hp not randomly sampled,NA,NA,NA,57,observational,cross-sectional,LC,no,NA,NA,kidney fat,NA,raw quantitative,not body size,invasive,563166,NA,NA,NA,NA,NA,NA,NA,-1,-0.604024894,-0.539907399,-0.701751032,-0.325071598,0.018518519
Fromont et al. 2000 Veterinary Record,CST,Felis_silvestris,mammal,endotherm,Feline leukaemia virus,virus,microparasite,binary infection,hp randomly sampled,3,chronic,2,25,observational,cross-sectional,FD,no,NA,NA,renal fat index,medium,qualitative,not body size,invasive,563163,0.153080025,-0.706668599,1,0,0,0,close,-1,-0.439026733,-0.412837378,-0.694653122,-0.021157849,0.045454545
Fromont et al. 2000 Veterinary Record,CST,Felis_silvestris,mammal,endotherm,Feline leukaemia virus,virus,microparasite,binary infection,hp randomly sampled,3,chronic,2,17,observational,cross-sectional,NA,yes,NA,A,weight ~ tarsus length residual,rapid,adjusted quantitative,body size,external,563163,0.153080025,-0.706668599,1,0,0,0,close,-1,-0.528134711,-0.483953964,-0.782566081,-0.004312276,0.071428571
Galvan et al. 2012 Journal of Avian Biology,CAS,Ficedula_hypoleuca,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,282,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,22300,NA,NA,NA,NA,NA,NA,NA,1,0.118552299,0.118,0.001212324,0.231612095,0.003584229
Harper 1999 Animal Behaviour,CAS,Fringilla_coelebs,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,27,observational,cross-sectional,LC,yes,M,A,pectoral muscle scores,NA,qualitative,not body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.33610983,-0.324,-0.626835182,0.063879043,0.041666667
Harper 1999 Animal Behaviour,CAS,Fringilla_coelebs,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,yes,M,J,pectoral muscle scores,NA,qualitative,not body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.357488589,-0.343,-0.610368541,-0.005468611,0.032258065
Galvan et al. 2012 Journal of Avian Biology,CAS,Fringilla_coelebs,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,210,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,1,0.27794277,0.271,0.140774704,0.392007367,0.004830918
Renner et al. 2016 International Journal for Parasitology,CAS,Fringilla_coelebs,bird,endotherm,haemosporidian parasites,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,157,observational,cross-sectional,LC,no,NA,NA,primary 3 asymmetry,NA,raw quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.05363062,-0.053579261,-0.208467821,0.103931124,0.006493506
Renner et al. 2016 International Journal for Parasitology,CAS,Fringilla_coelebs,bird,endotherm,haemosporidian parasites,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,157,observational,cross-sectional,LC,no,NA,NA,primary 3 asymmetry,NA,raw quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.047742693,-0.047706452,-0.20282892,0.109751823,0.006493506
Renner et al. 2016 International Journal for Parasitology,CAS,Fringilla_coelebs,bird,endotherm,haemosporidian parasites,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,157,observational,cross-sectional,LC,no,NA,NA,tarsus asymmetry,NA,raw quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.005806655,-0.00580659,-0.162297112,0.150968859,0.006493506
Renner et al. 2016 International Journal for Parasitology,CAS,Fringilla_coelebs,bird,endotherm,haemosporidian parasites,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,157,observational,cross-sectional,LC,no,NA,NA,tarsus asymmetry,NA,raw quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.020325403,-0.020322604,-0.176399211,0.136750851,0.006493506
Renner et al. 2016 International Journal for Parasitology,CAS,Fringilla_coelebs,bird,endotherm,haemosporidian parasites,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,157,observational,cross-sectional,LC,no,NA,NA,wing asymmetry,NA,raw quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.08019659,-0.080025103,-0.233733396,0.077585568,0.006493506
Renner et al. 2016 International Journal for Parasitology,CAS,Fringilla_coelebs,bird,endotherm,haemosporidian parasites,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,157,observational,cross-sectional,LC,no,NA,NA,wing asymmetry,NA,raw quantitative,body size,external,828694,NA,NA,NA,NA,NA,NA,NA,-1,-0.039028408,-0.039008604,-0.194458554,0.118352696,0.006493506
Shaw et al. 2010 Journal of Parasitology,CAS,Fundulus_parvipinnis,fish,ectotherm,Euhaplorchis californiensis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,375,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,643240,NA,NA,NA,NA,NA,NA,NA,1,0.259215162,0.253561301,0.156303891,0.345948926,0.002688172
Galvan et al. 2012 Journal of Avian Biology,CAS,Galerida_cristata,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,179,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,207745,NA,NA,NA,NA,NA,NA,NA,1,0.027006564,0.027,-0.120148085,0.172987225,0.005681818
Galvan et al. 2012 Journal of Avian Biology,CAS,Galerida_theklae,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,134,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,1089983,NA,NA,NA,NA,NA,NA,NA,-1,-0.115511019,-0.115,-0.279144345,0.055674199,0.007633588
Garcia-Ramirez et al. 2005 J. Nat. Hist.,AKD,Gallotia_atlantica,reptile,ectotherm,haemogregarines,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,no,NA,NA,residuals of mass/SVL,NA,adjusted quantitative,body size,external,931411,NA,NA,NA,NA,NA,NA,NA,1,0.239475208,0.235,-0.112071935,0.53097007,0.032258065
Garcia-Ramirez et al. 2005 J. Nat. Hist.,AKD,Gallotia_atlantica,reptile,ectotherm,trombiculid mites,ectoparasite,ectoparasite,intensity,hp randomly sampled,2,acute,1,34,observational,cross-sectional,LC,no,NA,NA,residuals of mass/SVL,rapid,adjusted quantitative,body size,external,931411,NA,NA,NA,NA,NA,NA,NA,1,0.315023237,0.305,-0.036979816,0.583031514,0.032258065
Deaton 2009 Behavioural Processes,CAS,Gambusia_affinis,fish,ectotherm,Eustrongylides ignotus,helminth,helminth,binary infection,hp randomly sampled,3,chronic,1,51,experimental,NA,LC,yes,F,NA,body mass,rapid,raw quantitative,body size,external,617445,NA,NA,NA,NA,NA,NA,NA,-1,-0.325750146,-0.314696941,-0.54317369,-0.042827499,0.020833333
Deaton 2009 Behavioural Processes,CAS,Gambusia_affinis,fish,ectotherm,Eustrongylides ignotus,helminth,helminth,binary infection,hp randomly sampled,3,chronic,1,51,experimental,NA,LC,yes,F,NA,standardized residual from least squares linear regression of mass of somatic fat on pre-extraction mass,medium,raw quantitative,not body size,invasive,617445,NA,NA,NA,NA,NA,NA,NA,-1,-0.211125028,-0.208043086,-0.45740238,0.071648424,0.020833333
Kurtz et al. 2006 Proc Roy Soc B,PB,Gasterosteus_aculeatus,fish,ectotherm,Camallanus lacustris,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,120,experimental,NA,LC,no,NA,NA,hapatosomatic index=100xliver weight/fish weight,NA,raw quantitative,not body size,invasive,401066,NA,NA,NA,NA,NA,NA,NA,-1,-0.25683214,-0.251330148,-0.412010909,-0.075489517,0.008547009
Bakker & Mundwiler 1999 Freshwater Biology,DJB,Gasterosteus_aculeatus,fish,ectotherm,Pomphorhynchus laevis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,31,observational,cross-sectional,LC,yes,M,NA,condition index (100Ã—mass(g)length(cm)^b),NA,adjusted quantitative,body size,external,401066,NA,NA,0,0,0,1,intermediate,-1,-0.452365369,-0.423841399,-0.676571323,-0.081783916,0.035714286
Bakker & Mundwiler 1999 Freshwater Biology,DJB,Gasterosteus_aculeatus,fish,ectotherm,Pomphorhynchus laevis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,29,observational,cross-sectional,LC,yes,M,NA,standardized pectoral fin size,NA,adjusted quantitative,body size,external,401066,NA,NA,0,0,0,1,intermediate,-1,-0.415205968,-0.392884049,-0.663805554,-0.030815646,0.038461538
Arnott et al. 2000 Proc Roy Soc B,LMB,Gasterosteus_aculeatus,fish,ectotherm,Schistocephalus solidus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,76,experimental,NA,CZ,no,NA,NA,dry carcass weight,NA,raw quantitative,body size,external,401066,NA,NA,0,0,0,1,intermediate,1,0.227625155,0.223773629,-0.001771277,0.427653617,0.01369863
Arnott et al. 2000 Proc Roy Soc B,LMB,Gasterosteus_aculeatus,fish,ectotherm,Schistocephalus solidus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,43,experimental,NA,CZ,yes,F,NA,dry liver weight,NA,raw quantitative,not body size,invasive,401066,NA,NA,0,0,0,1,intermediate,1,0.525431874,0.481881456,0.212257678,0.683327268,0.025
